Country_Name,Country_Code,Year,Immunization DPT percent children ages 12-23 months,Immunization measles percent children ages 12-23 months,Life expectancy at birth total years,Maternal mortality ratio modeled estimate per 100000 live births,Mortality rate infant per 1000 live births,Mortality rate under-5 per 1000 live births,Improvement_Rate,Improvement_Percentage,Mortality_Lag1,Mortality_Lag2,Mortality_Lag3,Years_Since_1990
Ethiopia,ETH,1993,28.0,22.0,47.676,1168.0,117.4,185.4,,,,,,3
Ethiopia,ETH,1994,57.0,54.0,47.926,1113.0,113.8,179.0,-0.030664395229982988,3.066439522998299,117.4,,,4
Ethiopia,ETH,1995,57.0,38.0,48.156,1060.0,110.0,172.4,-0.033391915641476255,3.3391915641476255,113.8,117.4,,5
Ethiopia,ETH,1996,55.0,54.0,48.697,1008.0,106.2,165.8,-0.034545454545454546,3.4545454545454546,110.0,113.8,117.4,6
Ethiopia,ETH,1997,55.0,51.0,49.21,957.0,102.5,159.2,-0.034839924670433176,3.4839924670433176,106.2,110.0,113.8,7
Ethiopia,ETH,1998,42.0,39.0,49.785,911.0,99.0,152.9,-0.034146341463414664,3.4146341463414664,102.5,106.2,110.0,8
Ethiopia,ETH,1999,28.0,27.0,49.486,901.0,95.6,146.7,-0.034343434343434454,3.4343434343434454,99.0,102.5,106.2,9
Ethiopia,ETH,2000,30.0,28.0,50.88,870.0,92.2,140.4,-0.03556485355648531,3.556485355648531,95.6,99.0,102.5,10
Ethiopia,ETH,2001,32.0,29.0,51.428,856.0,88.7,134.1,-0.037960954446854656,3.7960954446854656,92.2,95.6,99.0,11
Ethiopia,ETH,2002,35.0,32.0,52.085,826.0,85.1,127.7,-0.040586245772266105,4.0586245772266105,88.7,92.2,95.6,12
Ethiopia,ETH,2003,37.0,33.0,52.877,797.0,81.6,121.4,-0.04112808460634543,4.112808460634543,85.1,88.7,92.2,13
Ethiopia,ETH,2004,39.0,35.0,53.735,764.0,77.9,115.0,-0.0453431372549018,4.53431372549018,81.6,85.1,88.7,14
Ethiopia,ETH,2005,43.0,40.0,54.364,754.0,74.4,108.8,-0.04492939666238771,4.492939666238771,77.9,81.6,85.1,15
