Country,Year,Forecast
Ethiopia,2024,35.6986095915747
Ethiopia,2025,34.399909288653454
Ethiopia,2026,33.103893530516295
Ethiopia,2027,31.810556767937836
Ethiopia,2028,30.51989346316349
Kenya,2024,35.233140811929495
Kenya,2025,34.70712802037442
Kenya,2026,34.21901834040016
Kenya,2027,33.76608057251771
Kenya,2028,33.34578032035889
Tanzania,2024,30.010039446897157
Tanzania,2025,28.85446105310531
Tanzania,2026,27.732271396720005
Tanzania,2027,26.64250575930103
Tanzania,2028,25.584227296528045
Rwanda,2024,30.58468795569121
Rwanda,2025,30.3711539096099
Rwanda,2026,30.15938317944833
Rwanda,2027,29.949361204141926
Rwanda,2028,29.7410735428681
Uganda,2024,28.034154686820763
Uganda,2025,27.38626485485386
Uganda,2026,26.755846308597448
Uganda,2027,26.14242790958119
Uganda,2028,25.545551224264543
